'propiedad', 'código',
'positivo', 'optimismo',
'sensación', 'percepción',
'positivo', 'favorable',
'objetividad', 'imparcialidad',
'honestidad', 'sinceridad',
'positivo', 'beneficioso',
'fuerza', 'fortaleza',
'bien', 'prosperidad',
'bien', 'satisfacción',
'nerviosismo', 'ansiedad',
'peligro', 'riesgo',
'daño', 'perjuicio',
'mal', 'negativo',
'habilidades', 'competencias',
'tratado', 'negociado',
'negativo', 'desfavorable',
'angustia', 'desesperación',
'hacer', 'realizar',
'responsabilidad', 'obligación',
'recompensa', 'premio',
'esfuerzo', 'dedicación',
'adicción', 'dependencia',
'beneficios', 'ventajas',
'ingreso', 'ganancia',
'mayor', 'superior',
'dinero', 'riqueza',
'aprendizaje', 'educación',
'padres', 'familia',
'peligro', 'amenaza',
'miedo', 'temor',
'peligro', 'riesgo',
'deber', 'obligación',
'desarrollo', 'crecimiento',
'esfuerzo', 'trabajo',
'negativo', 'desfavorable',
'mal', 'negativo',
'mal', 'desfavorable',
'diccionario', 'vocabulario',
'significado', 'interpretación',
'mente', 'cerebro',
'acertividad', 'seguridad',
'negativo', 'desfavorable',
'desesperanza', 'desilusión',
'urgencia', 'necesidad',
'evitación', 'rechazo',
'miedo', 'temor',
'dificultad', 'problema',
'habilidades', 'destrezas',
'capacidad', 'habilidad',
'futuro', 'porvenir',
'filosofía', 'pensamiento',
'herramienta', 'instrumento',
'análisis', 'estudio',
'estabilidad', 'equilibrio',
'bien', 'positivo',
'derechos', 'libertades',
'necesario', 'indispensable',
'habilidades', 'competencias',
'inseguridad', 'desconfianza',
'límite', 'tope',
'fe', 'creencia',
'esperar', 'aguardar',
'matemáticas', 'cálculos',
'multiple', 'varios',
'proyecto', 'plan',
'búsqueda', 'investigación',
'búsqueda', 'exploración',
'tareas', 'actividades',
'impaciencia', 'ansiedad',
'deber regular', 'obligación',
'a favor', 'favorable',
'mal', 'negativo',
'respeto', 'consideración',
'respeto', 'consideración',
'gratitud', 'agradecimiento',
'lógica', 'razonamiento',
'humano', 'persona',
'solución', 'respuesta',
'no salida', 'atolladero',
'angustia', 'desesperación',
'veracidad', 'verdad',
'afirmación', 'declaración',
'cuastionamiento', 'interrogante',
'lamento', 'pena',
'empatía', 'comprensión',
'comprensión', 'entendimiento',
'amenaza', 'peligro',
'miedo', 'temor',
'riesgo', 'peligro',
'desequilibrio', 'inestabilidad',
'incapacidad', 'inhabilidad',
'nerviosismo', 'ansiedad',
'impaciencia', 'ansiedad',
'opinión', 'punto de vista',
'positivo', 'favorable',
'riesgo', 'peligro',
'peligro', 'riesgo',
'cuidado', 'precaución',
'habilidades', 'competencias',
'bien', 'positivo',
'a salvo', 'protegido',
'gratitud', 'agradecimiento',
'satisfacción', 'contento',
'otro/alguien', 'tercero',
'amenaza', 'peligro',
'riesgo', 'peligro',
'fe', 'creencia',
'opción', 'alternativa',
'nerviosismo', 'ansiedad',
'angustia', 'desesperación',
'dos o más partes', 'varios',
'satisfacción', 'contento',
'lo último que se pierde', 'esperanza',
'daño', 'perjuicio',
'alarma', 'alerta',
'riesgo', 'peligro',
'alegría', 'felicidad',
'agradable', 'placentero',
'habilidades', 'competencias',
'mentira', 'falsedad',
'razonamiento', 'lógica',
'gratitud', 'agradecimiento',
'policias', 'agentes'
