'propiedad', 'código',
'tareas', 'actividades',
'responsabilidad', 'deber',
'sinceridad', 'honestidad',
'transparencia', 'claridad',
'uno mismo', 'autonomía',
'correcto', 'adecuado',
'contrato', 'acuerdo',
'promesa', 'compromiso',
'tranquilidad', 'calma',
'protección', 'seguridad',
'respaldo', 'apoyo',
'acertividad', 'asertividad',
'verdad', 'veracidad',
'logro', 'éxito',
'trabajo', 'empleo',
'positivo', 'favorable',
'claridad', 'transparencia',
'conciencia', 'conocimiento',
'real', 'verdadero',
'honestidad', 'sinceridad',
'mentira', 'falsedad',
'emoción', 'sentimiento',
'malestar', 'incomodidad',
'negativo', 'desfavorable',
'remordimiento', 'culpa',
'articulación', 'unión',
'procedimiento', 'método',
'maquinación', 'conspiración',
'organización', 'orden',
'verdad', 'veracidad',
'transparencia', 'claridad',
'verdad', 'veracidad',
'virtud', 'bondad',
'cierto', 'verdadero',
'sin salida', 'atolladero',
'intranquilidad', 'preocupación',
'tranquilidad', 'calma',
'certeza', 'seguridad',
'no riesgo', 'seguro',
'positivo', 'favorable',
'ventas', 'comercialización',
'positivo', 'favorable',
'concejo', 'consejo',
'cognitivo', 'mental',
'reflexión', 'pensamiento',
'reflexión', 'pensamiento',
'positivo', 'favorable',
'gratitud', 'agradecimiento',
'positivo', 'favorable',
'posibilidad', 'opción',
'alternativa', 'opción',
'idea', 'concepto',
'cerebro', 'mente',
'concepto', 'idea',
'creencia', 'fe',
'fe', 'creencia',
'pensamiento', 'idea',
'empatía', 'comprensión',
'futuro', 'porvenir',
'acción', 'actividad',
'idea', 'concepto',
'verdad', 'veracidad',
'sinceridad', 'honestidad',
'transparencia', 'claridad',
'lógica', 'razonamiento',
'idea', 'concepto',
'verdad', 'veracidad',
'lógica', 'razonamiento',
'proporción', 'equilibrio',
'responsabilidad', 'deber',
'responsabilidad', 'deber',
'flagelo', 'plaga',
'elección', 'decisión',
'determinación', 'decisión',
'riesgo', 'peligro',
'advertencia', 'aviso',
'peligro', 'riesgo',
'deber', 'obligación',
'inseguridad', 'incertidumbre',
'habilidades', 'destrezas',
'idea', 'concepto',
'protección', 'seguridad',
'emoción', 'sentimiento',
'miedo', 'temor',
'estrategia', 'plan',
'pacto', 'acuerdo',
'compromiso', 'obligación',
'decisión', 'elección',
'idea', 'concepto',
'explicación', 'aclaración',
'significado', 'sentido',
'plan', 'estrategia',
'decisión', 'elección',
'anticipación', 'previsión',
'problemas', 'dificultades',
'angustia', 'ansiedad',
'emoción', 'sentimiento',
'intranquilidad', 'preocupación',
'necesario', 'indispensable',
'idea', 'concepto',
'opinión', 'punto de vista',
'solución', 'respuesta',
'triunfo', 'éxito',
'mente', 'cerebro',
'idea', 'concepto',
'error', 'equivocación',
'pensamiento', 'idea',
'responsabilidad', 'deber',
'idea', 'concepto',
'explicación', 'aclaración',
'acotación', 'observación',
'verdad', 'veracidad',
'inteligencia', 'intelecto',
'experiencia', 'vivencia',
'bien', 'bondad',
'defensa', 'protección'
