se idea para llegar a una meta,idea
forma de dar la culpa a algo por algun suceso,culpa
inventar algo para sacarse de culpa,invento
forma de mentir porque no se cumplio algo,mentira
felicidad,felicidad
cuando uno llega a la meta como lo planeo,meta
cuando uno cumple lo que desea ,deseo
se relaciona con la suerte,suerte
se requiere esfuerzo para llegar a el,esfuerzo
lo relacionan con la felicidad,felicidad
fijación mantenida en el tiempo con un objeto o persona,fijación
Puede constituir una enfermedad mental,enfermedad
provoca deseo por algo o alguien,deseo
forma estructurada de hacer las cosas,estructura
ayuda a definir tareas o actividdes a realizar,ayuda
estrategia,estrategia
sentirse afectado por las miserias del projimo,empatía
voluntad de ayudar al projimo en problemas,ayuda
esta relacionado con la empatia,empatía
sufrimiento por no encontrar salida de una situación problemática,sufrimiento
siente que todo esta mal y no hay forma de mejorarlo,no mejoría
Las cosas buenas estan por venir,bien
es lo ultimo que se pierde,lo último que se pierde
fuerza motora cuando las cosas estan mal,fuerza
habilidad cognitiva unicamente poseida por el ser humano,habilidades
característica determinante de la existencia del ser humano,características
relacionado con el pensamiento,pensamiento
se dice de cuando una persona está en lo correcto,correcto
opcion viable del actuar,opción
escoger una de las diferentes opciones,elección
exige compromiso con lo escogido,compromiso
sucede luego de un analisis de las opciones,análisis
opciones,opinión
compromiso,compromiso
situacion en la que hay que tener cuidado,cuidado
precaución,precaución
situacion que hay que evitar,evitación
puede ser un problema sicológico,problemas
produce ataques,cambio corporal
acto que trata de aliviar el sufriemto de otro.,alivio
correcto,correcto
algo que se piensa y se corrobora empiricamente,pensamiento
realidad y pensamientos alineados,real
real,real
lo que esta en la mente,mente
idea de una persona sobre otra,idea
no tangible,abstracción
remordimiento,remordimiento
sentimiento de hacer algo malo,mal
habilidad que tiene una persona de darse cuenta de que hizo algo erroneo,habilidades
perdida de esperanza,desesperanza
no tener paciencia,impaciencia
no tener tranquilidad de animo,intranquilidad
actuar de acuerdo a lo que se piensa y siente,acuerdo
argumento para justificar un actuar,argumentación
justificación,justificación
contrato,contrato
pacto,pacto
tratado,tratado
convenio,convenio
sentimiento de tranquilidad,tranquilidad
ausencia de riesgo,no riesgo
tener pensamientos positivos de que algo puede suceder,positivo
querer que suceda algo esperado,querer
tener fe en una situacion,fe
ser positivo,positivo
tener opciones y tener que tomar una,opción
le da sentido a las cosas,sentido
se busca en diccionarios para comprender las palabras,diccionario
"cuando uno no entiende una palabara, uno busca su",palabra
idea o guia de como una situacion se llevara a cabo,idea
la accion de dar las gracias,gratitud
Al hacer una actividad se busca eso,búsqueda
puede ser laboral o sentimental,laboral
se logra un objetivo,objetivos
hay que recorrer un camino para llegar ,camino
algo malo,mal
cuando alguien te ataca ,ataque
decirle a otra persona que lo va a atacar ,advertencia
"son solo palabras, antes de que atacar",ataque
se ocupa la cabeza,cabeza
"cuando dos personas discute, y uno esta en lo cierto",cierto
cuestionar algo,cuastionamiento
descontrolado,descontrol
susto,susto
sentirse mal por algo,mal
sentir una amenaza ,amenaza
se siente por una persona,persona
sentimiento por alguien cuando esta mal,mal
se trata de evitar el dolor ajeno,evitación
entre dos personas ,dos o más partes
un pacto entre dos personas,pacto
algo en común,común
no tener control,incontrolable
una persona se siente asi,personal
no controlar los actos ,incontrolable
estar contento con otra persona,felicidad
se siente bien por algo que hizo otra persona,bien
se puede tener el sentimiento o realizar un acto,sentimiento
"organizar las actividades de una semana, mes o año",organización
las compañias de telefono te lo ofrece,telefonía
organización,organización
hay actividades,actividades
Ponerse de acuerdo,acuerdo
Organización,organización
Elaborar un procedimiento,procedimiento
establecer pasos,pasos
Receta,receta
Antes de ejecutar,anticipación
Analizar todo antes de hacer,análisis
Confianza,confianza
La policia lo brinda,policias
hay guardias que se dedican a ello,guardias
El estado la garantiza,estado
Sin riesgo,no riesgo
Percepción del peligro,peligro
Paz,paz
El que gana una discusión la tiene,ganar
Riesgo,riesgo
Estar expuesto a una situación dañina,daño
Algo que puede salir mal,mal
Una alternativa que puedo elegir,alternativa
Una chance,chance
Un camino que puedo optar,camino
