constancia,constancia
seguridad,seguridad
elegir de forma informada,elección
afirmar ciertas posibilidades,afirmación
tratado,tratado
comprometerse a ciertas condiciones,compromiso
compromiso,compromiso
grupo que tiene ideas en común,común
reglas,reglas
esquema,esquema
set de pasos definidosen pos de un objetivo,pasos
habilidad,habilidades
capacidad,capacidad
talento,talento
aptitud,aptitud
cuan facil se logra algo,facilidad
cuan rapido se logra algo,rápidez
reconocerlo que hizo alguien,reconocimiento
reconocimiento,reconocimiento
honestidad,honestidad
capacidad de crítica,crítica
Preocupacion por el otro,preocupación
empatia con sufrimiento ajeno,empatía
riesgo,riesgo
estar en peligro,peligro
"dirigir palabras de riesgo a una persona, con opcion de concretarlas",riesgo
estado de alerta,alerta
estar en lo correcto,correcto
estado  mental,mental
propia de los seres humanos,humano
sentirse auxiliado,auxilio
no correr ningun riesgo,no riesgo
deseo mal trabajado,deseo
"querer para si, sin importar la consecuencias",querer
enfoque egoista de lo que e desea,egoísmo
dirigir la atencion a una cosa o persona y luchar para obtenerlo contratodo,atención
unido al amor,amor
liberacion de buenas vibras y alegria,alegría
fe,fe
soñar que las cosas pueden cambiar para mejor,soñar
es lo ultimo que se pierde,lo último que se pierde
fin de un tratado con las dos partes para un mismo lado,tratado
tratado,tratado
lograr un punto en  comun,común
unir los pensamientos en uno,unión
opcion,opción
tener una alternativa para algo,alternativa
chance frente a una cosa,chance
cuando se abre una ventana en la vida,ventana
contrario a mentia,no mentir
ser real,real
decir o actuar de forma natural ,natural
decir las cosas como son sin tapujos,sin tapujos
gratitud,gratitud
trato,trato
proteccion,protección
fuera de peligro,no peligro
a salvo,a salvo
evitar hacer algo,evación
que no es seguro,inseguridad
amenaza,amenaza
algo preparado,preparación
confianza ,confianza
alegria,alegría
inquietud,inquietud
Tener certeza sobre realizar un acción,certeza
Capacidad de pensar,pensamiento
Tener una opnión veraz,veracidad
Destreza,destreza
Cualidad,cualidad
Sensación de alegría,alegría
Estado de goce,gozo
Satisfacción,satisfacción
Paz,paz
Estrategia a implementar para conseguirun objetivo,estrategia
Programación de pasos detallada para lograr un fin,programa
Sentimento negativo de responsabilidad,negativo
Pensamiento rumiante que minimiza la autoestima,pensamiento
Imagn soial positiva,positivo
Acción a realizar por el manato de  jefeo superior,mandato
Hecho cierto,hechos
Hecho real,real
recomendación,recomendación
indicar un buen camino,camino
ayudar,ayuda
apoyar,apoyo
tener capacidades para hacer algo,capacidad
dominio de una materia,dominio
ser empático,empatía
sensible por el dolor ajeno,sensibilidad
contento,alegría
alegría,alegría
entusiasmo,entusiasmo
sentirse bien,bien
cuidado,cuidado
atención,atención
algo malo,mal
habilidad,habilidades
capacidad de hacer cosas,hacer
camino a seguir,camino
preparación,preparación
ser precavido,precaución
organizado,organización
adelantarse a las situaciones,adalantamiento
tener clara las proyecciones,proyección
buena desición,decisión
mejor que antes,mejorar
resultado positivo,positivo
fé,fe
motivación,motivación
mentalidad positiva,positivo
oganización,organización
una receta de actos a realizar para lograr un objetivo,receta
satisfacción de haber logrado una meta,satisfacción
se logra cuando la realidad coincide con tus deseos,logro
fé,fe
gratitud,gratitud
opinión,opinión
imaginación,imaginación
técnica,técnica
talento,talento
don,don
capacidad,capacidad
acuerdo,acuerdo
