deber,deber
tarea que hay que hacer para evitar algo malo,tareas
responsabilidad,responsabilidad
sinceridad,sinceridad
transparencia,transparencia
ser uno mismo,uno mismo
ser correcto,correcto
contrato,contrato
promesa,promesa
sentirse tranquilo,tranquilidad
protegido,protección
respaldado,respaldo
 sentir tranquilidad de que ocurrira lo que estamos esperando,tranquilidad
sentirse acertivo que tarde o temprano ocurrira lo esperado,acertividad
decir la verdad,verdad
lograr una meta pensada,logro
el fruto de trabajo y perseverancia,trabajo
lograr cumplir objetivos,logro
quedar con numeros positivos en una inversion,positivo
tener responsabilidad de lo sucedido,responsabilidad
ser responsable de un hecho,responsabilidad
tener claridad en un tema ,claridad
ser conciente,conciencia
real,real
honestidad,honestidad
realidad de algo ocurrido,real
mentir,mentira
emocion que se genera tras cometer una accion incorrecta,emoción
sensacion de malestar tras cometer un error,malestar
sentimiento negativo,negativo
remordimiento,remordimiento
sentirse mal por haber provocado en otro un efecto negativo,negativo
aticulacion paso a paso con el fin de alcanzar un objetivo determinado,articulación
procedimiento para alcanzar un fin,procedimiento
maquinacion,maquinación
organización determinada y premeditada,organización
sinceridad,sinceridad
accion positiva relacionada con decir la verdad,verdad
ser transparente,transparencia
decir la verdad a pesar de las consecuencias,verdad
virtud de las personas que son transparentes,virtud
decir solo lo que es realmente cierto,cierto
estar atrapado ,sin salida
intranquilidad por algo que no se puede resolver o solucionar,intranquilidad
sensacion de tranquilidad o bienestar por estar fuera de peligro,tranquilidad
certeza y confianza ,certeza
estado que se obtiene al estar lejos de cualquier riesgo,no riesgo
resultado positivo,positivo
lo q se obtiene tras una venta,ventas
Comentario que busca ser un aporte positivo,positivo
consejo que busca ser un aporte,concejo
proceso cognitivo interno,cognitivo
resultado de la reflexion personal,reflexión
reflexion,reflexión
Sensacion tras recibir algo positivo de otro,positivo
gratitud,gratitud
sentimiento positivo que genera el aporte desinteresado de otra persona,positivo
posibilidad,posibilidad
alternativa que surge inesperadamente y que promete ser beneficiosa,alternativa
idea,idea
estructura del cerebro,cerebro
conceptos mentales,concepto
creer que algo sucederá,creencia
fe,fe
pensamiento que algo llegará,pensamiento
empatía vertical,empatía
acción de sistematizar algo a futuro,futuro
susesos de acciones conun fin,acción
ideas para conseguir un proposito,idea
decir la verdad,verdad
actuar consinceridad,sinceridad
ser transparente,transparencia
estructura  lógica de pensamiento,lógica
idea,idea
sentido que permite cercarse a la verdad,verdad
base del pensamiento lógico,lógica
concepto fraccionario que permite hacer una proporción,proporción
tener responsabilidad en una situación,responsabilidad
sentirse responsable,responsabilidad
acción flagelante,flagelo
Elección,elección
Determinación,determinación
que se corre un riesgo inminente,riesgo
advertencia con cierto grado de violencia,advertencia
Asecho con peligro,peligro
acciones que se deben hacer,deber
Sentise desprotegido ante una situación.,inseguridad
Habilidad para realizar alguna actividad en particular.,habilidades
Son ideas que ocurren.,idea
Sentise protegido en situaciones de la vida.,protección
Es una emoción que ocurre cuando pasa algo bueno.,emoción
Refleja se refleja mediante miedo.,miedo
"Diseñar una estrategia a seguir, para realizar algo en particular.",estrategia
Realizar un pacto con alguna persona de algo en particular.,pacto
Comprometerse con alguien sobre algo a realizar.,compromiso
Tomar una decision ,decisión
Darle termino a una idea,idea
Explicar caracteristicas de alguna plabara,explicación
Dar el significado de algo,significado
realizar un plan,plan
tomar una decision entre varias pesonas o individulmente para llevar a cabo un hecho,decisión
palabra utilizada anticipadamente para no realizar algo,anticipación
concepto que señala cuando estas viviendo una situacion que te llevara a problemas,problemas
Palabra utilizada cuando se esta viviendo una situacion de angustia,angustia
emocion complicada,emoción
se refleja por estado animico intranquilo,intranquilidad
necesidad de querer algo desesperadamente,necesario
Dar una idea sin saber si llevara a cabo ,idea
opinar en alguna reunion,opinión
solucion pensada anticipadamente a algun suceso ,solución
se refleja como un trinfo,triunfo
algo rondando en la mente,mente
ideas o sucesos en nuestra mente que no se comparten,idea
sentir o saber que cometiste algun error ,error
estado animico pensativo,pensamiento
señalar a alguien como el responsable de algo,responsabilidad
dar ideas de un objeto,idea
explicar algo respecto de un tema específico que tu conoces,explicación
Algo acotado,acotación
Verdad,verdad
Inteligencia,inteligencia
Experiencia,experiencia
Es tener la convicción de algo que puede ser bajo un criterio bien o mal fundamentado,bien
Esuna forma de defensa para una persona que siente miedo,defensa
