Ingreso,ingreso
Positiva,positivo
Sensacion enriquecedora,sensación
Las personas con muchos proyectos positivos lo tienen,positivo
Algo objetivo,objetividad
Honestidad,honestidad
Las personas que la usan son mas positivas,positivo
Hay algunas tan fuertes que te meten en problemas ,fuerza
algo bueno,bien
rendir bien,bien
nerviosismo,nerviosismo
Algo peligroso,peligro
Dañino,daño
probabilidad de que pase algo malo,mal
Buena habilidad en algo,habilidades
tratado,tratado
Emoción negativa,negativo
Angustia,angustia
Es el deber hacer algo,hacer
Ser responsable de hacer algo,responsabilidad
Recompensa,recompensa
Se obtiene luego de un gran esfuerzo,esfuerzo
Adicción,adicción
Beneficios,beneficios
Ingresos mayores a gastos,ingreso
Entre mayor sea la …… mejor,mayor
Casi siempre se habla de este concepto en términos monetarios,dinero
Aunque puede referirse a varios ámbitos como el aprendizaje ,aprendizaje
Se siente un gran……. hacia nuestros padres,padres
Peligro que provoca algo o alguien,peligro
Miedo que se tiene a algo o alguien,miedo
Se utiliza para obtener algo a costa de hacer peligrar algo importante,peligro
Un deber que se tiene que cumplir te guste o no,deber
O también pueden desarrollarse con práctica,desarrollo
Normalmente se obtienen despúes de mucho esfuerzo,esfuerzo
Sentimiento negativo,negativo
Se siente cuando uno no se siente bien con las acciones que realizó,mal
Cuando me siento mal hago un mea ……,mal
El diccionario posee muchas …………..,diccionario
Significado de las palabras,significado
Hay muchos en la mente,mente
Siempre se trata de que sean acertados,acertividad
Sentimiento negativo,negativo
Es lo contrario a Esperanza,desesperanza
Cuanddo se necesita algo urgentemente y sabes que no lo puedes tener,urgencia
Todos tratan de evitar este sentimiento buscando soluciones,evitación
No debe generar miedo,miedo
Dificultad por enfrentar ,dificultad
Habilida ,habilidades
Capacidad relizar algo bien,capacidad
Determinan el futuro de una persona,futuro
Filosofia ,filosofía
Principal Herramienta del ser humano,herramienta
Metodo de analisis ,análisis
Estabilidad,estabilidad
es un bien ,bien
es un derecho ,derechos
Necesario ,necesario
es una habilidad ,habilidades
Inseguridad,inseguridad
Limite,límite
Fe,fe
"Esperar lo mejor, estar preparado para lo peor ",esperar
objetivamen puede ser un termino matematico que tiene un valor exacto,matemáticas
Subjetivamente tiene multiples aplicaciones ,multiple
Proyecto,proyecto
Busca minimizar el peligro y las amenazas ,búsqueda
Busca asegurar resultados esperados,búsqueda
ordena tareas,tareas
Impaciencia ,impaciencia
Se debe regular,deber regular
Se puede usar a favor de quien la padece ,a favor
es un mal silencioso ,mal
El respeto por los informales determina a una persona ,respeto
respeto,respeto
gratitud,gratitud
lógica,lógica
lo posee el ser humano,humano
resolución de problemas,solución
sin salida,no salida
angustia,angustia
algo verídico,veracidad
afirmación de algo,afirmación
puede ser cuestionado,cuastionamiento
lamento,lamento
empatía,empatía
comprensión de un suceso malo en otro.,comprensión
amenaza,amenaza
miedo,miedo
riesgo,riesgo
desequilibrio del entorno,desequilibrio
incapacidad de espera a un suceso,incapacidad
nerviosismo,nerviosismo
impaciente,impaciencia
opinión,opinión
aporte positivo,positivo
riesgo,riesgo
exposición a un peligro,peligro
algo de lo que debemos cuidarnos,cuidado
habilidad,habilidades
ser bueno en algo,bien
estar a salvo,a salvo
gracias,gratitud
estar satisfecho con algo,satisfacción
se les da a alguien,otro/alguien
amenaza,amenaza
riesgo,riesgo
fe,fe
opción,opción
nervio,nerviosismo
angustia ,angustia
dos o más partes pueden llegar a él,dos o más partes
idea que satisfaga a los participantes,satisfacción
lo último que se pierde,lo último que se pierde
una situación en que puedes salir dañado,daño
situación alarmante,alarma
es un factor de riesgo,riesgo
alegría un poco más constante,alegría
un sentimiento agradable,agradable
el uso de tus habilidades,habilidades
puede ser una mentira,mentira
una razón,razonamiento
situación en donde se da las gracias,gratitud
"pueden haber policías, bomberos, ambulancia cubriendo esto",policias
